latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.28278,143.44243,328.81,4.38,1.93,2021-10-28,0124,T,46,6.1NRT,299.4,106.36,D
-16.2492,143.43927,338.85,4.38,1.93,2021-10-28,0124,T,85,6.1NRT,298.42,238.51,D
-16.26284,143.39694,326.14,4.34,1.92,2021-10-28,0124,T,20,6.1NRT,297.51,80.64,D
-16.26658,143.43742,328.97,4.38,1.93,2021-10-28,0124,T,49,6.1NRT,300.03,110.71,D
-16.28019,143.39526,328.42,4.34,1.92,2021-10-28,0124,T,50,6.1NRT,298.52,98.73,D
-16.28399,143.43579,329.05,4.38,1.93,2021-10-28,0124,T,54,6.1NRT,299.24,108.94,D
-16.3149,143.39192,331.69,4.34,1.92,2021-10-28,0124,T,73,6.1NRT,300.97,123.13,D
-14.15428,127.28308,339.47,2.02,1.38,2021-10-28,0124,T,89,6.1NRT,305.54,65.37,D
-14.17594,127.26026,332.04,2.02,1.39,2021-10-28,0124,T,84,6.1NRT,305.41,28.6,D
-14.21831,127.34137,334.31,1.99,1.38,2021-10-28,0124,T,86,6.1NRT,302.97,42.17,D
-14.24299,127.33736,326.67,1.99,1.38,2021-10-28,0124,T,30,6.1NRT,302.82,14.96,D
-14.20701,127.0532,339.62,2.09,1.41,2021-10-28,0124,T,90,6.1NRT,302.09,77.71,D
-14.26631,127.30737,327.54,2,1.38,2021-10-28,0124,T,51,6.1NRT,303.98,19.94,D
-15.36259,133.71448,332.09,1.01,1,2021-10-28,0124,T,69,6.1NRT,312.17,8.77,D
-15.37161,133.71313,341.73,1.01,1,2021-10-28,0124,T,85,6.1NRT,312.36,23.18,D
-15.38199,133.72113,333.51,1.01,1,2021-10-28,0124,T,70,6.1NRT,311.8,10.03,D
-15.38736,133.69531,336.18,1.01,1,2021-10-28,0124,T,57,6.1NRT,311.35,13.21,D
-15.3887,133.70464,335.01,1.01,1,2021-10-28,0124,T,65,6.1NRT,309.12,12.35,D
-15.39005,133.71397,339.83,1.01,1,2021-10-28,0124,T,82,6.1NRT,311.88,20.8,D
-15.41443,133.69127,331.01,1.01,1,2021-10-28,0124,T,47,6.1NRT,309.64,9.57,D
-15.41578,133.70061,344.22,1.01,1,2021-10-28,0124,T,87,6.1NRT,311.59,30.89,D
-14.38103,127.06965,338.67,2.07,1.4,2021-10-28,0124,T,83,6.1NRT,300.96,75.25,D
-15.44377,133.63921,336.37,1.01,1,2021-10-28,0124,T,78,6.1NRT,312.59,13.6,D
-15.45279,133.63786,333.47,1.01,1,2021-10-28,0124,T,64,6.1NRT,311.21,9.69,D
-15.47508,133.66617,339.98,1.01,1,2021-10-28,0124,T,83,6.1NRT,310.34,23.65,D
-15.47642,133.67549,347.56,1.01,1,2021-10-28,0124,T,91,6.1NRT,309.81,37.36,D
-15.49886,133.76772,335.09,1.01,1.01,2021-10-28,0124,T,16,6.1NRT,312.04,11.67,D
-15.5002,133.7771,338.37,1.01,1.01,2021-10-28,0124,T,45,6.1NRT,314.6,16.13,D
-15.51764,133.89922,339.73,1.02,1.01,2021-10-28,0124,T,82,6.1NRT,312.54,19.42,D
-15.50924,133.77576,346.57,1.01,1.01,2021-10-28,0124,T,87,6.1NRT,312.84,29,D
-15.53365,133.75293,346.45,1.01,1.01,2021-10-28,0124,T,90,6.1NRT,310.35,32.08,D
-15.54403,133.76096,336.02,1.01,1.01,2021-10-28,0124,T,57,6.1NRT,311.09,13.24,D
